Sunda;Terjemahan;Thesaurus 1;Thesaurus 2;Thesaurus 3
dilem ; tumbuhan yg daunnya wangi; ;  ; 
dina ; pada;kahatur ; murda ; 
dines ; dinas;sangu ;  ; 
dingding bilik; labah-iabah besar yg sarangnya mendinding, teu didingding kelir. diucapkan terus terang tidak ada yg disembunyikan;tembok ; p ; 
tembok; labah-iabah besar yg sarangnya mendinding, teu didingding kelir. diucapkan terus terang tidak ada yg disembunyikan;dingding bilik ; p ; 
p ; labah-iabah besar yg sarangnya mendinding, teu didingding kelir. diucapkan terus terang tidak ada yg disembunyikan;dingding bilik ; tembok ; 
dingklik; tempat duduk utk seorang at bangku kecil tanpa sandaran;didingklik ;  ; 
didingklik ; tempat duduk utk seorang at bangku kecil tanpa sandaran;dingklik ;  ; 
dingkul ; bakul besar; ;  ; 
dingkut ; pincang;cingked ; cingkud ; 
dinten ; hari;poe ;  ; 
dipa ; obor matahari, pulau : jawa - pulau jawa; ;  ; 
dipikawanoh ; dikenal;beken ; kakoncara ; 
dir at edir ; takabur, merasa diri lebili dr orang lain dan tidak percaya kpd kekuasaan tuhan; ;  ; 
diri ; diri;nangtung ; ngadeg ; tatih
dirihdil. ngadirihdil ; sering melahirkan dan jaraknya berdekatan; ;  ; 
dirina ; dirinya; ;  ; 
ditepikeun ; disampaikan; ;  ; 
ditu ; menunjukkan tempat yg jauh; ;  ; 
diuk ; duduk;calik ; dengklang ; ngadengklang
diut; menangis yg lama namun tidak keras;ngadingdiut ;  ; 
ngadingdiut ; menangis yg lama namun tidak keras;diut ;  ; 
dobol ; bedah, bocor (karung, tambak. tanggul, dsb);bebeur ; bayabah. ngabayabah ; bekeh
dodoho. ngadodoho ; bersembunyi menunggu musuh at mangsa lengah; ;  ; 
dodoja ; cobaan;cobi ; doja ; mecakan
dodolo ; berani tanpa perhitungan. tidak mengingat. keselamatan dirinya; ;  ; 
dodongkal at dodongkar ; makanan yg terbuat dr tepung beras; ;  ; 
dodot ; 1 kain panjang yg lebili panjang dr yg biasa,; ;  ; 
doglo ; bodoh dan kurang pikiran (padahal suliah dewasa); ;  ; 
dogong ; palang, penahan at pen unjang pohon, tiang dsb yg akan. roboh;palang ;  ; 
dohot; berjalan perlahan-lahan sambll membungkukbungkuk spt yg sedang mengintai;dahat-dohot ;  ; 
dahat-dohot ; berjalan perlahan-lahan sambll membungkukbungkuk spt yg sedang mengintai;dohot ;  ; 
doip ; hina, rendah martabatnya,;nista ; cacampah ; nyacampah
doja ; coba;cobi ; dodoja ; mecakan
dok ; ko utk menyatakan bahwa sesuatu (barang) sudah menjadi milik yg menemukannya lebih dahulu; ;  ; 
dokdak ; ko kerja keras menggunakan kampak, golok, pahat, palu, dsb;batek ; bedog ; palu
domas ; delapan ratus, area domas; ;  ; 
domba ; biri-biri; ;  ; 
donca; menarik sekuat tenaga dng kaki menunjang;ngadonca ;  ; 
ngadonca ; menarik sekuat tenaga dng kaki menunjang;donca ;  ; 
dongdolek; tetus menerus memaki-maki menghamburkan kedongkolannya;ngadongsolek ;  ; 
ngadongsolek ; tetus menerus memaki-maki menghamburkan kedongkolannya;dongdolek ;  ; 
dongdong. ngadongdon ; mendatangi tempat yg akan diperiksa; ;  ; 
dongkang; menjangkau mengambll barang yg agak jauh dr tempa! duduk tanpa berdiri terlcbih dahulu;ngadongkans ;  ; 
ngadongkans ; menjangkau mengambll barang yg agak jauh dr tempa! duduk tanpa berdiri terlcbih dahulu;dongkang ;  ; 
dongkap ; bl tiba, datang, sampal;cunduk ; sumping ; kadongkapan
dongkar; menggali benda yg besar (batu, tunggul dsb);ngadongkar at ng ;  ; 
ngadongkar at ng ; menggali benda yg besar (batu, tunggul dsb);dongkar ;  ; 
dongko ; membungkuk spt yg sedang rukuk; ;  ; 
donto ; demplon; ;  ; 
doran ; tangkai pacul; ;  ; 
dosol ; agak menonjol (pusat); ;  ; 
dua ; dua; ;  ; 
du'a ; do'a; ;  ; 
dudud; berjalan cepat tanpa menengok ke kiri at ke kanan,;ngadudud ;  ; 
ngadudud ; berjalan cepat tanpa menengok ke kiri at ke kanan,;dudud ;  ; 
dudukuy ; topi;kerepus ;  ; 
dudukuy tudung; tudung yg lebur utk berhujanhujan;dudukuy g ;  ; 
dudukuy g ; tudung yg lebur utk berhujanhujan;dudukuy tudung ;  ; 
dudut; mencabut (rambut, bulu ayam, dsb);ngadudut ; bebeur ; bayabah. ngabayabah
ngadudut ; mencabut (rambut, bulu ayam, dsb);dudut ; bebeur ; bayabah. ngabayabah
dugi ; bl sampai, tiba;cunduk ;  ; 
duhung; sesal menyesal;kaduhung ;  ; 
kaduhung ; sesal menyesal;duhung ;  ; 
duit ; uang;artos ; dicagerana ; ontohod
duka ; tidak tahu;bireuk ;  ; 
dukdek at darukdek ; sempit (banyak barang di ruang yg kecil); ;  ; 
dukduk; bekerja lama dan terus-menerus;ngadukduk ;  ; 
ngadukduk ; bekerja lama dan terus-menerus;dukduk ;  ; 
dulur ; saudara;baraya ; saderek ; 
dulur pet ku hinis ; saudara kandung (seibu sebapak); ;  ; 
dulur sabrayna ; saudara sepupu (anak paman atau ua); ;  ; 
dulur tere; saudara tiri;dulur paterea ;  ; 
dulur paterea ; saudara tiri;dulur tere ;  ; 
dulur; adlk at kakak kita; ;  ; 
dumasar ; berdasarkan; ;  ; 
dumeh ; karena;margi ; sabab ; 
dumuk ; diam;cicing ; lungguh ; 
dunungan ; majikan; ;  ; 
dunya ; dunia; ;  ; 
dupak ; nyenggol; ;  ; 
duriat ; perasaan cinta; ;  ; 
duruk ; bakar;beuleum ; beukah ; ngaduruk
duwegan ; kelapa muda; ;  ; 
eak-eakan ; tertawa-tawa; ;  ; 
ear ; gempar;gujrud ;  ; 
ebat ; tergoda saat melaksanakan solat; ;  ; 
ebreh ; tampak dengan jelas; ;  ; 
ecag ; turun dari pangkuan / gendongan;ais ; ngais ; 
eces ; jelas;atra ; gemet ; jatra
edeg ; stress; ;  ; 
ee ; beol;modol ;  ; 
egang ; beijalan dng kaki agak renggang; ;  ; 
ejegeler ; berjalan bulak - balik sambil marah; ;  ; 
ekek ; burung betet; ;  ; 
elak-elakan ; elak-elakan; ;  ; 
elegete ; tidak mau diam; ;  ; 
eleh ; kalah;kawon ; keok ; cepak
eleh ku atah-atah ; kalah begitu saja; ;  ; 
eleketek ; gelitik;leketek ; ngeleketek ; 
elmu ; ilmu; ;  ; 
elod-elodan /  ulad-elod ; mudah tergoda; ;  ; 
emang ; paman;amang ; mamang ; 
embe ; kambing; ;  ; 
embung ; ogah; ;  ; 
emok ; bersimpuh bagi perempuan; ;  ; 
emoy ; empuk;hipu ;  ; 
empang ; kolam;balong ; kulah ; 
emplad; panjang dan seperti berper;naemplad ;  ; 
naemplad ; panjang dan seperti berper;emplad ;  ; 
emut ; ingat;inget ; cantula ; nyantula
encan; belum;acan ; can ; tacan
encep ; panggilan kpd anak laki-iaki; ;  ; 
encod ; meminjam; ;  ; 
endah ; indah;akut ; ngakut ; 
endeur ; bergetar;geter ;  ; 
endog ; telur; ;  ; 
eneng / neneng ; panggilan kpd anak perempuan; ;  ; 
engap ; tidak dapat bernapas; ;  ; 
engeuh ; sadar; ;  ; 
enggal ; cepat;gancang ; gasil ; geura
enggeus ; sudah;atos ; geus ; parantos
engkang ; panggilan kpd kakak; ;  ; 
engke ; nanti;mangke ; baring. baring supagi ; 
engke; nanti;mangke ; baring. baring supagi ; 
mangke ; nanti;engke ; baring. baring supagi ; 
engke-engkean ; berjalan dengan sebelah kaki; ;  ; 
engkeun ; biar;antep ; wios ; abur
enjing ; besok;isuk ; isukan ; 
enjing-enjing ; pagi-pagi;isuk-isuk ;  ; 
enod; memanjakan (anak);ngenod ;  ; 
ngenod ; memanjakan (anak);enod ;  ; 
enok ; panggilan kpd anak perempuan at kpd wanita muda; ;  ; 
entep at ngentep ; membereskan dan menyusun; ;  ; 
entog ; bebek; ;  ; 
entong ; jangan;montong ; tong ; ulah
entong; jangan;montong ; tong ; ulah
montong; jangan;entong ; tong ; ulah
tong ; jangan;entong ; montong ; ulah
entrag ; biasa, lazim; ;  ; 
enya ; iya;heu euh ; muhun ; 
era ; malu;isin ; ajrih ; era,eraan
era,eraan ; malu,pemalu;ajrih ; era ; isin
ese ; biji;siki ;  ; 
esod; menggeser sedikitsedikit sambi! duduk (karena lumpuh);ngesod ;  ; 
ngesod ; menggeser sedikitsedikit sambi! duduk (karena lumpuh);esod ;  ; 
estu,estuning ; benar, sungguh;bener ; eucreug ; leres
eta ; itu;itu ;  ; 
etang ; hitung;itung ; bilang ; milang
etangan ; hitungan;bilang ; milang ; etang
eucreug ; benar;leres ; palamarta ; bener
eudeuk,ngeundeuk-ngeundeu ; menggoyang-goyangkan; ;  ; 
eueut ; minum;arot ; ngaleueut ; nginum
eugeu; berhenti-henti;aga-eugeu ;  ; 
aga-eugeu ; berhenti-henti;eugeu ;  ; 
eujeung ; dengan;kalawan ; sareng ; sinareng
euleugeug; menggerak-gerakan leher karena ada makanan dsb;eueuleugeugan ;  ; 
eueuleugeugan ; menggerak-gerakan leher karena ada makanan dsb;euleugeug ;  ; 
euleum ; cukup;cekap ; cumpong ; 
euleum; tidak ragu-ragu;euleum-euleum ;  ; 
 euleum-euleum ; tidak ragu-ragu;euleum ;  ; 
eulis at euis ; panggilan kpd anak perawan at kpd anak perempuan umumnya; ;  ; 
eumeul-eumeul ; masih agak basah, belum kering benar; ;  ; 
eunteung ; kaca; ;  ; 
eunteup ; hinggap;euntreup ;  ; 
euntreup ; hinggap;eunteup ;  ; 
eunyeuh ; roboh; ;  ; 
eupan ; umpan; ;  ; 
eurad ; jerat; ;  ; 
eureun ; berhenti sebentar; ;  ; 
eureup-eureup ; gangguan di oernapasan sewaktu tidur; ;  ; 
eusi ; isi;beuneur ;  ; 
eusleum ; agak gila; ;  ; 
eutik ; kecil;alit ; leutik ; mini
euweuh ; tidak ada; ;  ; 
euyeub ; banyak untuk dipilih; ;  ; 
gaaleun ; telah dingin dan keras; ;  ; 
gaang ; anjing tanah; ;  ; 
gaber ; bergelambir; ;  ; 
gableg ; punya;boga ; gaduh ; kagungan
gabrug ; terkam;kerekeb ;  ; 
gabug ; hampa;hapa ;  ; 
gacel; memegang megang;ngagacel ;  ; 
ngagacel ; memegang megang;gacel ;  ; 
gadabah ; melanggar sesuati yang dianggap suci; ;  ; 
gadag ; inisiatip; ;  ; 
gadil ; menanduk; ;  ; 
gado ; dagu;angkeut ;  ; 
gaduh ; punya;boga ; gableg ; kagungan
gagabah ; kurang hati hati; ;  ; 
gagal ; gagal;burung ; kagagalan ; 
gagalapakan ; pinjam uang kesana kemari untuk keperluan yang mendesak; ;  ; 
gagarubang ; susah membawanya; ;  ; 
gahar ; rasa makanan atau minuman yang menyegarkan; ;  ; 
gahel ; rasa makanan atau minunan  kurang enak; ;  ; 
gahgal ; dimakan begitu saja tanpa dimasak; ;  ; 
gajih ; lemah;letoy ;  ; 
gajih bum ; gaji yg dibayarkan kpd orang yg tidak bekelja; ;  ; 
gakgak ; tertawa terbahak bahak; ;  ; 
galagar ; belahan bambu yang panjang untuk menjepit; ;  ; 
galapak ; terbang dengan sayap memgenai barang di sekitarnya; ;  ; 
galar ; kayu yang melintang antara dua tiang di kamar; ;  ; 
galayah ; merebahkan atau membaringkan badan; ;  ; 
galendo ; cirit minyak kelapa; ;  ; 
galengan ; pematang sawah; ;  ; 
galentor ; menciumi;ambung ; angseu ; 
galenye ; tingkah laku yang menarik perhatian pria; ;  ; 
galeong ; maju sambil miring; ;  ; 
galeuh ; membeli;meser ; beuli ; lonceng
galeuh 2 ; bagian pohon kayu yang tedapat di tengah tengah; ;  ; 
galey ; mengaduk;baur ;  ; 
galideur ; menggeral gerakan kepala ke kanan dan kekiri; ;  ; 
galih ; bendu; ;  ; 
galing ; keriting; ;  ; 
galumbira ; bergembira;berag ; bingah ; bungah
galungan ; berkelahi;gelut ; lah ; 
galur ; bekas telapak kaki panjang; ;  ; 
gamah ; terganggu;dibadeuran ;  ; 
gambar ; lukis; ;  ; 
gamblung ; garung; ;  ; 
gambuhang ; rakus;rampus ;  ; 
gampang ; mudah;babari ; gampil ; dangan
gamparan i ; terompah kayu; ;  ; 
gamparan ii ; panggilan kepada orang yang sangat dihormati; ;  ; 
gampil ; mudah;babari ; gampang ; dangan
gampleng ; tampar;cabok ; tampiling ; 
gamuleng ; montok;nauhneur ;  ; 
gancang ; cepat;enggal ; gasil ; geura
gandeng ; berisik;baribin ; cekcok ; 
gandes ; cantik;gelis ; monyas ; 
gandet ; tonjolan; ;  ; 
gandoy ; tergantung;gawil ; gawing ; gayot
ganggayong ; ditunda tunda; ;  ; 
ganggong ; lebat; ;  ; 
gantar ; galah; ;  ; 
gantel ; liontin; ;  ; 
ganti ; ganti;gentos ; minda ; 
ganyah ; lembek;genjur ;  ; 
gapay ; meraba raba; ;  ; 
gapura ; gerbang; ;  ; 
gapuy ; menyentuh tanah; ;  ; 
garadag giridig ; berjalan cepat mundar mandir; ;  ; 
garah ; rusak;amburadul ; ruksak ; burak
garanggan ; selalu merasa lapar; ;  ; 
garapyak ; terbuka dan baik tegur sapanya; ;  ; 
garawang ; segala dimakan; ;  ; 
gareuwah ; ribut;geruh ; baribin ; cekcok
garewol ; asal jadi; ;  ; 
garidus ; dijual murah; ;  ; 
garihal ; kasar;nerag ; obrog ; 
garing ; kering;hampang ; mindeng ; 
garit ; jalur tanah yang akan ditanami; ;  ; 
garo ; garuk; ;  ; 
garogol ; kandang; ;  ; 
garong ; pencuri;maling ; badog ; paling
garung ; tidak digarap; ;  ; 
garwa ; istri;bojo ;  ; 
gasah ; menggosok- gosok; ;  ; 
gasil ; cepat;enggal ; gancang ; geura
gasruk ; bergesek; ;  ; 
gateng ; menyala;murub ;  ; 
gawar ; meminang; ;  ; 
gawe ; kerja;damel ; didamel ; 
gawil ; tergantung;gandoy ; gawing ; gayot
gawing ; tergantung;gandoy ; gawil ; gayot
gawir ; tebing; ;  ; 
gayem; memamah;ngagayem ;  ; 
ngagayem ; memamah;gayem ;  ; 
gayer; hujan terus;ngagayer ;  ; 
ngagayer ; hujan terus;gayer ;  ; 
gayor ; sangga; ;  ; 
gayot ; gantung;gandoy ; gawil ; gawing
gayot; tergantung;gandoy ; gawil ; gawing
ngagayot ; tergantung;gandoy ; gawil ; gawing
gebah; mengagetkan;ngagebah ;  ; 
ngagebah ; mengagetkan;gebah ;  ; 
gebeg; terperanjat;ngagebeg ; gurubug ; ngagurubug
ngagebeg ; terperanjat;gebeg ; gurubug ; ngagurubug
geber; bergetar tapi keras;ngageber ;  ; 
ngageber ; bergetar tapi keras;geber ;  ; 
gebes; menggeleng-gelengkan kepala;gegebes ;  ; 
gegebes ; menggeleng-gelengkan kepala;gebes ;  ; 
gebis ; jatuh;murag ; ragrag ; 
geblag; terbuka sama sekali;ngageblag ;  ; 
ngageblag ; terbuka sama sekali;geblag ;  ; 
gebog ; pohon pisang tangkai; ;  ; 
gebos; menggebos;ngagebos ;  ; 
ngagebos ; menggebos;gebos ;  ; 
geboy; berenang maju berlahan-lahan;ngageboy ;  ; 
ngageboy ; berenang maju berlahan-lahan;geboy ;  ; 
gebreg ; menggigil;ngadegdeg ; ngahodhod ; 
gebret ; besar sekali; ;  ; 
gebyag ; tampak di mana-mana orang mengerjakan sesuatu yang sama; ;  ; 
gebyar; mengeluarkan cahaya;ngagebyar ;  ; 
ngagebyar ; mengeluarkan cahaya;gebyar ;  ; 
gebyog ; pagar dari papan; ;  ; 
geceg ; senang sambil di pegang-pegangnya; ;  ; 
gedag; menyala besar;ngagedag ; gedur ; ngagedur
ngagedag ; menyala besar;gedag ; gedur ; ngagedur
gedang ; pepaya; ;  ; 
gede ; besar;ageung ; badag ; ngreng
gedeg ; pagar yang terbuat dari bambu; ;  ; 
geder; gemuruh;ngageder ;  ; 
ngageder ; gemuruh;geder ;  ; 
gedig; berjalan semangat dan cepat;ngagedig ;  ; 
ngagedig ; berjalan semangat dan cepat;gedig ;  ; 
gedog ; tetap pendirian; ;  ; 
gedong ; gedung; ;  ; 
gedur; menyala besar;gedag ; ngagedag ; ngagedur
ngagedur ; menyala besar;gedag ; ngagedag ; gedur
gegel ; gigit;ngegel ;  ; 
gegel; menggigit;ngegel ;  ; 
ngegel ; menggigit;gegel ;  ; 
gegeleng ; sisa nasi yang menempel pd dulang; ;  ; 
gegem ; teguh memegang; ;  ; 
gegerelengan ; berguling-guling;uling ; ngaguling ; 
gegetuk ; sampe; ;  ; 
geheng ; hangus sekali; ;  ; 
gehger ; gemper; ;  ; 
gehgeran ; latah; ;  ; 
geing; membangunkan;ngageingken ; cengkat ; gugah
ngageingken ; membangunkan;geing ; cengkat ; gugah
gejed ; susah melangkah; ;  ; 
gejeh ; berpakaian rapih; ;  ; 
gejilig ; mangkat; ;  ; 
gejlog; menjadi rendah;ngagejlog ;  ; 
ngagejlog ; menjadi rendah;gejlog ;  ; 
gejos ; menusuk; ;  ; 
gejret; barang yang jatuh;ngagejret ;  ; 
ngagejret ; barang yang jatuh;gejret ;  ; 
gelang; memutar;ngagelang ;  ; 
ngagelang ; memutar;gelang ;  ; 
gelap ; halilintar; ;  ; 
geledegan ; belantara; ;  ; 
gelehe ; membaringkan; ;  ; 
gelek ; berdesak desakan; ;  ; 
gelemeng ; mengelemeng; ;  ; 
gelendut ; bercerita;nyaritakeun ; carios ; carita
geleng ; tergilas; ;  ; 
gelenye ; selingan kecapi suling; ;  ; 
geleyeng; mulai maju;ngageleyeng ;  ; 
ngageleyeng ; mulai maju;geleyeng ;  ; 
geleyu ; tersenyum manis sekali; ;  ; 
gelis ; cantik;gandes ; monyas ; 
gelo ; gila;owah ; palung ; burung
gelogedeg ; utk benda yg timbulnya secara luar biasa; ;  ; 
gelut ; berkelahi;galungan ; lah ; 
gembeyek ; gemuk;lintuh ; montok ; 
gembreng ; berkain panjang hampirmenentuh tanah; ;  ; 
gembul ; lahap;rewog ;  ; 
gemet ; jelas;atra ; eces ; jatra
gemi ; hemat;rikrik ;  ; 
gemol; terus-terusan;ngagemol ; geyer ; ngageyer
ngagemol ; terus-terusan;gemol ; geyer ; ngageyer
gempel; menual padi tidak dengan tangkainya;ngagempel ;  ; 
ngagempel ; menual padi tidak dengan tangkainya;gempel ;  ; 
gemplek ; sangat lebat; ;  ; 
gempor ; lumpuh; ;  ; 
genah ; senang sekali; ;  ; 
genclang; jernih;ngagenclang ;  ; 
ngagenclang ; jernih;genclang ;  ; 
gendang; buncit;bucitreuk ; buncir ; buncireung
ngagendang ; buncit;bucitreuk ; buncir ; buncireung
gendek ; melekat; ;  ; 
genek ; agak biru pada daging; ;  ; 
genep ; enam; ;  ; 
genggem; di kepal;di genggem ;  ; 
di genggem ; di kepal;genggem ;  ; 
genggerong ; tenggorokan;tikoro ;  ; 
genjlong ; goncang; ;  ; 
genjur ; lembek;ganyah ;  ; 
gentak; tiba-tiba;bol ; bolbol ; ngagentak
ngagentak ; tiba-tiba;bol ; bolbol ; gentak
gentelkeak ; tidak mau jauh dari ibu; ;  ; 
gentos ; ganti;ganti ; minda ; 
gentra; suara;ngagentraan ; sora ; 
ngagentraan ; suara;gentra ; sora ; 
gentreng ; suka bertengkar; ;  ; 
genyah ; cepat besar; ;  ; 
geol; menggerakan pantat ke kanan dan ke kiri;ngageol ;  ; 
ngageol ; menggerakan pantat ke kanan dan ke kiri;geol ;  ; 
gepeng ; pipih; ;  ; 
gepok ; tumpuk;gunduk ; ngagunduk ; 
gepor; duduk tanpa tikar;ngagepor ; geye ; pageye-geye
ngagepor ; duduk tanpa tikar;gepor ; geye ; pageye-geye
gerah ; gembira;berag ; bingah ; gumbira
gere; mengorek;ngagere ;  ; 
ngagere ; mengorek;gere ;  ; 
gerecek ; terbuka;ablag ; boker ; kaboker
geregel; memotong;ngagaregel ;  ; 
ngagaregel ; memotong;geregel ;  ; 
gerejud; menipu;ngagerejud ; basilat ; 
ngagerejud ; menipu;gerejud ; basilat ; 
gereleng; menggelinding;ngagereleng ;  ; 
ngagereleng ; menggelinding;gereleng ;  ; 
geremet; memikirkan;ngageremet ;  ; 
ngageremet ; memikirkan;geremet ;  ; 
gerentes ; berita yang masih di bisikan; ;  ; 
gerenyih; meminta atau menuntut;ngagerenyih ;  ; 
ngagerenyih ; meminta atau menuntut;gerenyih ;  ; 
geret ; garis untuk tanda; ;  ; 
geret; tiruan bunyi pintu;ngageret ;  ; 
ngageret ; tiruan bunyi pintu;geret ;  ; 
gerewek; berteriak;ngagerewek ; gorowok ; ngagorowok
ngagerewek ; berteriak;gerewek ; gorowok ; ngagorowok
gereyek ; banyak;loba ; mucekil ; seueur
gereyem; berkata-kata;ngagereyem ;  ; 
ngagereyem ; berkata-kata;gereyem ;  ; 
gerih; mengisi agar garam meresap;ngagerihan ;  ; 
ngagerihan ; mengisi agar garam meresap;gerih ;  ; 
gering ; sakit;nyeri ; teu damang ; udur
gero ; panggil;angkir ; nyalukan ; 
gero; mengeluarkan suara keras;ngagero ;  ; 
ngagero ; mengeluarkan suara keras;gero ;  ; 
geroh kageroh ; terurus; ;  ; 
geruh ; ribut;gareuwah ; baribin ; cekcok
gerus 1; melumatkan;ngagerus ;  ; 
ngagerus ; melumatkan;gerus 1 ;  ; 
gesrek; bergesekan;pagesrek ;  ; 
pagesrek ; bergesekan;gesrek ;  ; 
getas ; mudah patah; ;  ; 
getek ; geli; ;  ; 
geten ; memperlihatkan rasa sayang; ;  ; 
geter ; getar;endeur ;  ; 
geter; gemetar;ngageter ;  ; 
ngageter ; gemetar;geter ;  ; 
getih ; darah;mokla ; bayabah. ngabayabah ; 
getok ; jitak;teke ;  ; 
getol ; rajin;hideng ; daek ; 
geubra; tidur nynyak;ngageubra ; guber ; ngaguber
ngageubra ; tidur nynyak;geubra ; guber ; ngaguber
geueuman ; menimbulkan rasa takut; ;  ; 
geugeut ; sayang;deudeuh ; lebar ; nyaah
geulang ; gelang; ;  ; 
geuleuh ; jijik;gleh ; ijid ; birigidig
geulis ; jelita; ;  ; 
geumpeur ; gugup; ;  ; 
geuneuk ; lebam; ;  ; 
geuning; kata untu mengeraskan dl menunjukan;geuningan ;  ; 
geuningan ; kata untu mengeraskan dl menunjukan;geuning ;  ; 
geunjleung ; tersiar; ;  ; 
geura ; cepat;enggal ; gancang ; gasil
geus ; sudah;atos ; enggeus ; parantos
geutah ; getah; ;  ; 
geuwat ; cepat;enggal ; gancang ; gasil
geye; duduk tanpa tikar;gepor ; ngagepor ; pageye-geye
pageye-geye ; duduk tanpa tikar;gepor ; ngagepor ; geye
geyer; terus-terusan;gemol ; ngagemol ; ngageyer
ngageyer ; terus-terusan;gemol ; ngagemol ; geyer
giat ; giat;rajin ;  ; 
gibeg; menggerakkan;ngagibeg ; bayeungyang ; usik
ngagibeg ; menggerakkan;gibeg ; bayeungyang ; usik
gicel; geol;ngagicel ;  ; 
ngagicel ; geol;gicel ;  ; 
gideug; menggelengkan kepala;ngagideug ;  ; 
ngagideug ; menggelengkan kepala;gideug ;  ; 
gigih ; nasi setengah matang; ;  ; 
gigir ; di samping; ;  ; 
gigis ; takut;sieun ; cabar ; 
gikgik ; tertawa yang di tahan; ;  ; 
gilek; bergerak sedikit ke samping;ngagilek ;  ; 
ngagilek ; bergerak sedikit ke samping;gilek ;  ; 
giler; bergerak sedikit  ke kanan dan ke kiri;gular-giler ;  ; 
gular-giler ; bergerak sedikit  ke kanan dan ke kiri;giler ;  ; 
gilig ; tetap hati; ;  ; 
gilincing; tidak membawa apa-apa;ngagilincing ;  ; 
ngagilincing ; tidak membawa apa-apa;gilincing ;  ; 
gimbung-ngagimbung ; berkumpul berdsak desakan; ;  ; 
gimir ; khawatir; ;  ; 
gindi pikir belang bayah ; berhati jahat; ;  ; 
ginding ; berpakaian bagus; ;  ; 
ginggiapen ; rasa takut; ;  ; 
gingsir; menjual;ngagigsir ; ngical ; ical
ngagigsir ; menjual;gingsir ; ngical ; ical
giras ; liar; ;  ; 
giridig ; sering kedatangan atau kelewatan; ;  ; 
girimis ; gerimis; ;  ; 
gisisk; menggosok-gosok;ngagisisk ; gusruk ; ngagusruk
ngagisisk ; menggosok-gosok;gisisk ; gusruk ; ngagusruk
gitek ; goyang; ;  ; 
giung ; terlalu manis; ;  ; 
giwang ; anting; ;  ; 
giwar; menyimpang sedikit dari tempat yg di tuju;ngagiwar ;  ; 
ngagiwar ; menyimpang sedikit dari tempat yg di tuju;giwar ;  ; 
giwing; menjingjing sesuatu sambil di ayun-ayun;ngagiwing ;  ; 
ngagiwing ; menjingjing sesuatu sambil di ayun-ayun;giwing ;  ; 
giyet ; berjalan sambil menggerak-gerakan pantat; ;  ; 
gleh ; jijik;geuleuh ; ijid ; birigidig
goak; menjerit;ngagoak ; dengek ; ngadengek
ngagoak ; menjerit;goak ; dengek ; ngadengek
gobrah ; terlalu besar; ;  ; 
goco ; menekan dengan ibu jari tengah; ;  ; 
godeg ; menggerakan kepala; ;  ; 
godog ; rebus;kulub ;  ; 
godos ; sejajar;deres at redes ; ngaderess ; 
goeng; berputar;ngagoeng ;  ; 
ngagoeng ; berputar;goeng ;  ; 
gogog ; an-jing; ;  ; 
gohgoy ; batuk; ;  ; 
golak; mendidih;ngagolak ; gotrok ; ngagotrok
ngagolak ; mendidih;golak ; gotrok ; ngagotrok
golang ngagolang ; nerputar; ;  ; 
goleah; berbaring berlahan lahan;ngagoleah ;  ; 
ngagoleah ; berbaring berlahan lahan;goleah ;  ; 
goledag; berbring tanpa bantal;ngagoledag ;  ; 
ngagoledag ; berbring tanpa bantal;goledag ;  ; 
golenceng ; terguling; ;  ; 
golepak; jatuh telentang;ngagolepak ;  ; 
ngagolepak ; jatuh telentang;golepak ;  ; 
goler; barbaring;ngagolr ;  ; 
ngagolr ; barbaring;goler ;  ; 
goletak; bergeletakan;ngagoletak ;  ; 
ngagoletak ; bergeletakan;goletak ;  ; 
golodog ; tangga rumah; ;  ; 
golokgok ; kata untuk menuangkan airdri kendi; ;  ; 
golontor; mengalir besar;ngagolontor ;  ; 
ngagolontor ; mengalir besar;golontor ;  ; 
goloyoh ; berbaring berlahan-lahan; ;  ; 
gomeng; di jurus;di gomeng-gomeng ;  ; 
di gomeng-gomeng ; di jurus;gomeng ;  ; 
gomplok ; lebat dan banyak; ;  ; 
gonjak; berkelakar;ngagonjak ;  ; 
ngagonjak ; berkelakar;gonjak ;  ; 
gonyok; berkumpul berdekatan sekali;ngagonyok ;  ; 
ngagonyok ; berkumpul berdekatan sekali;gonyok ;  ; 
gorah ngagorah ; bercerita lama; ;  ; 
gorejag ; mudah bangun; ;  ; 
goreng ; jelek;butut ; gote ; 
gorenyang; berebut;pagorenyang ; pajorewat ; 
pagorenyang ; berebut;gorenyang ; pajorewat ; 
gorobag ; gerobak; ;  ; 
gorolang; lancardan cepat dlm membaca;ngagorolang ;  ; 
ngagorolang ; lancardan cepat dlm membaca;gorolang ;  ; 
gorolong; bergelincir;ngagorolong ;  ; 
ngagorolong ; bergelincir;gorolong ;  ; 
gorowok; berteriak;gerewek ; ngagerewek ; ngagorowok
ngagorowok ; berteriak;gerewek ; ngagerewek ; gorowok
gote ; jelek;butut ; goreng ; 
gotrok; mendidih;golak ; ngagolak ; ngagotrok
ngagotrok ; mendidih;golak ; ngagolak ; gotrok
goyot ngagoyot ; menggantung;gandoy ; gawil ; gawing
guar; membuka;ngaguar ; ablag ; boker
ngaguar ; membuka;guar ; ablag ; boker
gubag gabig ; bergoyang goyang; ;  ; 
guber; tidur nynyak;geubra ; ngageubra ; ngaguber
ngaguber ; tidur nynyak;geubra ; ngageubra ; guber
gudag; menyala besar;gedag ; ngagedag ; gedur
ngagudag ; menyala besar;gedag ; ngagedag ; gedur
