Sunda;Terjemahan;Thesaurus 1;Thesaurus 2;Thesaurus 3
ancrud ; sering beerpergian; ;  ; 
ancul ; ucapan permalukan lawan; ;  ; 
ancur ; hancur;ajur ; ruksak ; 
andarawang ; keras kepala;merewedeng ; bedang ; 
andeg; ditahan tidak boleh pulang;diandeg ;  ; 
diandeg ; ditahan tidak boleh pulang;andeg ;  ; 
andegleg ; duduk di tempat yang lebih tinggi; ;  ; 
andekak ; duduk sila dilebaran; ;  ; 
andel ; percaya;percanten ;  ; 
andeprok ; dudukk bersimpuh rapat tanpa alas;dariuk ;  ; 
andih; merebut tempat orang lain;ngandih ;  ; 
ngandih ; merebut tempat orang lain;andih ;  ; 
andihi ; tambun;gendut ;  ; 
andika ; kamu, engkau;anjeun ; hidep ; maneh
andiprek ; lesesan; ;  ; 
andir ; bumbung kecil; ;  ; 
andon ; iklas;rido ;  ; 
anduk ; handuk;lap ;  ; 
andum ; membagi;ajang ; jang ; 
angas ; angganakejam; ;  ; 
angel ; bantal;anggel ;  ; 
angen ; hulu hati;haté ;  ; 
angeun ; sayur;sayuran ;  ; 
anggah-ungguh ; tata karma;sopan santun ;  ; 
anggal ; sebelum wayai; ;  ; 
anggana ; sendiri;sorangan ;  ; 
anggang ; renggang;jauh ;  ; 
anggaresol ; tidak rata; ;  ; 
anggel ; bantal;angel ;  ; 
angger ; tidak beruba;tetep ;  ; 
anggeuhan ; ditentukan;cindek ;  ; 
anggeus ; selesai;rengse ;  ; 
anggeusan ; habis-habisan;réngsé ;  ; 
anggit ; mengarang puisi;ngarang ;  ; 
anggo ; pakai;pake ;  ; 
anggoan ; pakaian;acuk ;  ; 
angguklung ; sombong;agul ; angkuh ; bedang
anggut ; angguk;unggeuk ;  ; 
anging ; semata;celong ; netra ; panon
angir ; mencuci rambut;keramas ;  ; 
angkanan ; rencana;rencana ;  ; 
angkara ; marah;amarah ;  ; 
angkara murka ; sangat marah;bengis ;  ; 
angkaribung ; banyak bawaannya; ;  ; 
angkat ; berangkat;mios ; miang ; akut
angkat junjung ; mengerjakan sesuatu yang berat; ;  ; 
angken ; aku;abi ; aing ; 
angkeng ; pinggang;cangkeng ;  ; 
angker ; menyeramkan;serem ;  ; 
angkeub ; mendung;ceudeum ;  ; 
angkeuh ; megah;agreng ;  ; 
angkeut ; dagu;gado ;  ; 
angkir ; panggil;gero ; nyalukan ; 
angkleung ; hanyut;palid ;  ; 
angkong ; judi;kaulinan ;  ; 
angkrak ; mengomel;ngagerendeng ;  ; 
angkruk ; menongkrong;ngangkring ;  ; 
angkuh ; sombong;agul ; angguklung ; bedang
angles ; tidak mengau; ;  ; 
angluh ; tidak gembira karena sakit; ;  ; 
angob ; menguap;ngahuap ;  ; 
angon ; mengembala;pangangon ;  ; 
angonan ; binatang yang digembala;ingon-ingon ;  ; 
angot ; lebih-lebih;komo ;  ; 
angsar ; terkulai; ;  ; 
angsel ; ganjal kecil; ;  ; 
angseu ; bau / cium;ambeu ; bau ; ambung
angsit ; mempercepat;cepet ; enggal ; gancang
angson; memanaskan suasana;ngangson ;  ; 
ngangson ; memanaskan suasana;angson ;  ; 
angsrod; menarik ke atas;ngangsrodkeun ;  ; 
ngangsrodkeun ; menarik ke atas;angsrod ;  ; 
anjang ; berkunjung;longok ;  ; 
anjang sono ; kunjungan karena kangen;nyambang ;  ; 
anjang-anjangan ; permainan anak; ;  ; 
anjeucleu ; duduk santai; ;  ; 
anjeun ; kamu;hidep ; maneh ; sia
anjeunna ; dia;manehna ; cawis ; sayogi
anjog ; sampai;datang ; cunduk ; 
anjrek; tinggal sementara;nganjerk ;  ; 
nganjerk ; tinggal sementara;anjrek ;  ; 
anjuk ; menghutang;nginjeum ;  ; 
anom ; muda;muda ; ngora ; 
anseg ; desak;desek ; ngadesek ; guliksek
antaparah ; tidak pikir; ;  ; 
antare ; tenang;tiis ;  ; 
antawis ; antara;antara ;  ; 
antay ; memanjang ke belakang; ;  ; 
anteb ; benar-benar;enya-enya ;  ; 
antek ; bingung;cahuleun ;  ; 
anteng ; asyik;resep ;  ; 
antep ; biar;engkeun ; wios ; abur
antero ; seluruh;sadayana ;  ; 
anteur ; antar;nganteurkeun ;  ; 
anti ; tunggu;antos ; dago ; ngadogoan
antieun ; wanita pendiam; ;  ; 
antos ; tunggu;anti ; dago ; ngadogoan
antuk ; akhirnya;ahirna ; antukna ; bucit
antukna ; akhirnya;ahirna ; antuk ; bucit
anu ; Yang;nu ;  ; 
anut ; menurut;gugu ; ngagugu ; 
anyar ; baru;weuteuh ;  ; 
aom ; panggilan untuk anak lelaki bupati; ;  ; 
aor-aoran ; suara kucing mencari pasangan; ;  ; 
aos ; baca;maos ;  ; 
apa ; bapak;abah ; rama ; 
apal ; hafal;nyaho ;  ; 
apal cangkem ; hapal di luar kepala, namun tak mengerti maksudnya; ;  ; 
apan ; menyatakan kepastian;memang ;  ; 
apay-apayan ; berjalan berleret-leret; ;  ; 
apeng-apengan ; lari cepat bagaikan melayang; ;  ; 
apet ; tidak mau berpisah; ;  ; 
api-api ; pura-pura;daku. dadaku ;  ; 
aplak ; luas dan rata;lega ;  ; 
aplek ; terkulai karena patah; ;  ; 
aplen ; mengerjakan sesuatu pelan-pelan agar bagus; ;  ; 
aprak ; pergi mencari kemana-mana;nyiar ;  ; 
apret ; bertebaran ditempat makan; ;  ; 
apruk ; berjalan di antara pepohonan; ;  ; 
apu ; batu kapur; ;  ; 
apung; terbang;ngapung ;  ; 
ngapung ; terbang;apung ;  ; 
arap-ap-areun-eup ; gagap; ;  ; 
aray ; ikatan padi yang kecil; ;  ; 
arek ; akan;adeuk ; bakal ; rek
areung ; arang;mu'alip ;  ; 
areuy ; batang tumbuhan yang merambat; ;  ; 
arey; berjalan berduyun-duyun;ngarey ;  ; 
ngarey ; berjalan berduyun-duyun;arey ;  ; 
ari ; sedangkan;anco ; keur ; nedeng
arileu ; tidak sempat; ;  ; 
arit ; celurit;bedog ;  ; 
aron ; nasi yang dikeringkan; ;  ; 
arot ; minum;eueut ; ngaleueut ; nginum
artos ; uang;duit ; dicagerana ; ontohod
aruy; terasa air lius keluar; ;  ; 
aruy ; terasa air lius keluar; ;  ; 
asa ; rasa;nandang at nandangan ; ngarasa ; rasakeun
asah; mengasah;ngasah ;  ; 
ngasah ; mengasah;asah ;  ; 
asak ; matang; ;  ; 
asal ; mulai;kawit ; mimiti ; ngawitan
aseuk tugal ; kayu panjang bukat ujungnya tajam; ;  ; 
asin ; asin; ;  ; 
asong; terlanjur sudah;kagok asong ;  ; 
kagok asong ; terlanjur sudah;asong ;  ; 
asor ; rendah;handap ;  ; 
asoy; maju sedikit-sedikit;ngasoy ;  ; 
ngasoy ; maju sedikit-sedikit;asoy ;  ; 
asrek; menvari binatang;ngasrek ;  ; 
ngasrek ; menvari binatang;asrek ;  ; 
asrog; mengajukan diri;ngasrogkeun maneh ;  ; 
ngasrogkeun maneh ; mengajukan diri;asrog ;  ; 
asruk ; memburu binatang; ;  ; 
astana ; kuburan;pajaratan ;  ; 
astra ; wajah;pameunteu ; raray ; bengok
asup ; masuk;abus ; lebet ; 
atah ; mentah;ampeuh ; belet ; candet
atah anjang ; jarang berkunjung; ;  ; 
atah warah ; tidak terpelajar; ;  ; 
atanapi ; atau;atawa ;  ; 
atar ; mengalah tapi melawan agi; ;  ; 
atawa ; atau;atanapi ;  ; 
ateul ; gatal;gareuh ;  ; 
ateul biwir ; selalu ingin berbicara; ;  ; 
ateul dampal leungeun ; kesal ingin menempeleng; ;  ; 
ati ; hati;hate ; manah ; cageur
ati sanubari ; hati sanubari;haté ;  ; 
ati-ati ; hati-hati;nastini ;  ; 
atik ; ajar;atikan ; wuruk ; 
atik; mendampingi;ngatik ;  ; 
ngatik ; mendampingi;atik ;  ; 
atikan ; ajaran;atik ; wuruk ; 
atoh ; girang;bagja ; senang ; 
atok ; senang;beuki ; bogoh ; bongrey
atos ; sudah;enggeus ; geus ; parantos
atra ; jelas;eces ; gemet ; jatra
awad ; pura-pura sakit; ;  ; 
awahan ; ancang-ancang; ;  ; 
awak ; badan;salira ; waruga ; 
awak sabelah ; janda yang hidup sendiri; ;  ; 
awang-awang ; angkasa;langit ;  ; 
aweh ; memberi salam;mèré ;  ; 
awer; tumpah;uwar-awer ; bahe ; 
uwar-awer ; tumpah;awer ; bahe ; 
awewe ; perempuan;bikang ;  ; 
awi ; banmbu; ;  ; 
awis ; mahal;mahal ;  ; 
awit ; asal;asal ;  ; 
awon ; buruk;goréng ;  ; 
awuntah ; boros;bongborosan ; borak-borak ; 
awur ; menaburkan;nyebar ;  ; 
awut ; mengacak-acak; ;  ; 
aya ; ada;kitu kaayaanana ;  ; 
ayak ; memisahkan yang kasar dari yang halus;nyaring ;  ; 
ayakan ; alat untuk memisahkan benda kasar;saringan ;  ; 
ayeg ; terus terusan dikasih; ;  ; 
ayer ; tidak berhenti henti; ;  ; 
ayeuh ; rebah;ngagolér ;  ; 
ayeuna ; sekarang;kiwari ;  ; 
ayum ; mengganti yang rusak; ;  ; 
beak ; bhabis, tak bersisa;réngsé ;  ; 
bear ; pera; ;  ; 
beas ; beras, beas atah, beras mentah, yg belum disosoh;nguyang ; sacanggeum ; 
beat ; dibeat disumpah , disuruh berjanji; ;  ; 
bebene ; pacar, tunangan (perempuan), artinya calon istri;beubeureuh ;  ; 
bebenjo ; ngabebenjokeun budak mengalihkan pikiran at perhatian anak agar menjadi senang; ;  ; 
bebeong ; baung, ikan sungai sj lele; ;  ; 
bebeur ; beber, buka (gulungan, layar, dsb);bayabah. ngabayabah ; bekeh ; bekel
beberetean; tumbuh-tumbuhan,buahnya bulat-bulat kecil yg masak rasanya manis; ;  ; 
bebekis; memencakâ·mencak (menelak dng gerakan tangan sambil marah); ;  ; 
bedor; ujung anak panah, mata anak panah;mata panah ;  ; 
beh; utk menemukan , terus;laju ;  ; 
